state,year,value
Puducherry,2014-15,716.0
Punjab,2014-15,12413.0
Kerala,2015-16,7580.0
Ladakh,2015-16,
Madhya Pradesh,2015-16,4426.0
Maharashtra,2015-16,28210.0
Manipur,2015-16,173.0
Meghalaya,2015-16,102.0
Mizoram,2015-16,
Nagaland,2015-16,185.0
Odisha,2015-16,2948.0
Puducherry,2015-16,682.0
Punjab,2015-16,12521.0
Kerala,2016-17,7697.0
Ladakh,2016-17,
Madhya Pradesh,2016-17,4494.0
Maharashtra,2016-17,27010.0
Manipur,2016-17,188.0
Meghalaya,2016-17,120.0
Mizoram,2016-17,
Nagaland,2016-17,192.0
Odisha,2016-17,3051.0
Puducherry,2016-17,665.0
Punjab,2016-17,12489.0
Kerala,2017-18,7649.0
Ladakh,2017-18,
Madhya Pradesh,2017-18,4533.0
Maharashtra,2017-18,26393.0
Manipur,2017-18,191.0
Meghalaya,2017-18,133.0
Mizoram,2017-18,
Nagaland,2017-18,186.0
Odisha,2017-18,3066.0
Puducherry,2017-18,681.0
Punjab,2017-18,12726.0
Kerala,2018-19,7696.0
Ladakh,2018-19,
Madhya Pradesh,2018-19,4640.0
Maharashtra,2018-19,25972.0
Manipur,2018-19,197.0
Meghalaya,2018-19,148.0
Mizoram,2018-19,
Nagaland,2018-19,187.0
Odisha,2018-19,3063.0
Puducherry,2018-19,703.0
Punjab,2018-19,12825.0
Kerala,2019-20,7796.0
Ladakh,2019-20,3.0
Madhya Pradesh,2019-20,4771.0
Maharashtra,2019-20,25610.0
Manipur,2019-20,204.0
Meghalaya,2019-20,158.0
Mizoram,2019-20,215.0
Nagaland,2019-20,190.0
Odisha,2019-20,3079.0
Puducherry,2019-20,727.0
Punjab,2019-20,13092.0
Kerala,2020-21,7886.0
Ladakh,2020-21,2.0
Madhya Pradesh,2020-21,4914.0
Maharashtra,2020-21,26059.0
Manipur,2020-21,204.0
Meghalaya,2020-21,163.0
Mizoram,2020-21,206.0
Nagaland,2020-21,192.0
Odisha,2020-21,3246.0
Puducherry,2020-21,776.0
Punjab,2020-21,13089.0
Kerala,2021-22,7712.0
Ladakh,2021-22,2.0
Madhya Pradesh,2021-22,5010.0
Maharashtra,2021-22,26350.0
Manipur,2021-22,218.0
Meghalaya,2021-22,186.0
Mizoram,2021-22,208.0
Nagaland,2021-22,191.0
Odisha,2021-22,3204.0
Puducherry,2021-22,760.0
Punjab,2021-22,13131.0
Kerala,2022-23,7592.0
Ladakh,2022-23,30.0
Madhya Pradesh,2022-23,5058.0
Maharashtra,2022-23,26446.0
Manipur,2022-23,237.0
Meghalaya,2022-23,192.0
Mizoram,2022-23,206.0
Nagaland,2022-23,193.0
Odisha,2022-23,3244.0
Puducherry,2022-23,765.0
Punjab,2022-23,13228.0
Kerala,2023-24,7528.0
Ladakh,2023-24,29.0
Madhya Pradesh,2023-24,5102.0
Maharashtra,2023-24,26539.0
Manipur,2023-24,246.0
Meghalaya,2023-24,192.0
Mizoram,2023-24,204.0
Nagaland,2023-24,195.0
Odisha,2023-24,3281.0
Puducherry,2023-24,761.0
Punjab,2023-24,13166.0
Rajasthan,2004-05,5740.0
Sikkim,2004-05,
Tamil Nadu,2004-05,21053.0
Telangana,2004-05,
Tripura,2004-05,275.0
Uttar Pradesh,2004-05,9582.0
Uttarakhand,2004-05,752.0
West Bengal,2004-05,6105.0
Lakshadweep,2004-05,
Rajasthan,2005-06,6005.0
Sikkim,2005-06,
Tamil Nadu,2005-06,21265.0
Telangana,2005-06,
Tripura,2005-06,307.0
Uttar Pradesh,2005-06,10503.0
Uttarakhand,2005-06,900.0
West Bengal,2005-06,6077.0
Lakshadweep,2005-06,
Rajasthan,2006-07,6053.0
Sikkim,2006-07,
Tamil Nadu,2006-07,23691.0
Telangana,2006-07,
Tripura,2006-07,324.0
Uttar Pradesh,2006-07,10688.0
Uttarakhand,2006-07,1150.0
